城市,价格,出游人数,评论数,详细出游人数,满意度,来回交通工具,行程天数,住宿类型,好评数,目的地,编号
 ,2428,45,0,45,9.3,全程汽车,4天3晚 ,四星酒店,0, ,446074206
 ,2428,45,0,45,9.3,全程汽车,4天3晚 ,四星酒店,0, ,446074206
 ,1599,0,0,0,9.7, ,4天3晚 ,高档型酒店,0, ,4163535068
 ,3980,0,0,0,9.7, ,3天2晚 ,雪乡特色民宿“火...,0,哈尔滨、牡丹江,3853518626
 ,3980,0,0,0,9.2, ,2天1晚 ,高档型酒店,0, ,2669212622
 ,3980,0,0,0,9.8, ,5天4晚 ,二星及其他酒店,0,郑州、新乡、洛阳、焦作、开封,3876413909
 ,3980,0,0,0,10, ,2天1晚 ,高档型酒店,0, ,1294419662
 ,3980,0,32,0,10, ,2天1晚 ,高档型酒店,32, ,1294419662
 ,3980,0,1,0,10, ,4天3晚 ,高档型酒店,1, ,3485119807
 ,3980,0,0,0,10, ,4天3晚 ,高档型酒店,0, ,3485119807
 ,3980,0,0,0,9.2, ,3天2晚 ,二星及其他酒店,0, ,3488176799
 ,3980,0,0,0,9.8, ,4天3晚 ,二星及其他酒店,0,郑州、洛阳、开封、焦作,357963315
 ,3980,0,30,0,9.2, ,2天1晚 ,舒适型酒店,29, ,4248742684
 ,3980,0,0,0,9.2, ,2天1晚 ,舒适型酒店,0, ,4248742684
 ,3980,0,0,0,9.7, ,5天4晚 ,舒适型酒店,0, ,646515003
 ,3980,0,79,0,10, ,3天2晚 ,高档型酒店,77, ,3876578032
 ,3980,0,0,0,9.7, ,2天1晚 ,雪乡特色民宿“火...,0,哈尔滨、牡丹江,2368537222
 ,2428,45,0,45,10, , ,高档型酒店,0, ,1568289308
 ,3980,0,0,0,9.7, ,2天1晚 ,四星酒店,0, ,2048228062
 ,3980,0,21,0,9.4, ,2天1晚 ,二星及其他酒店,21, ,2801045738
 ,3980,0,27,0,9.7, ,3天2晚 ,豪华型酒店,27, ,1243027129
 ,3980,0,10,0,9.7, ,3天2晚 ,豪华型酒店,10, ,1243027129
 ,3980,0,47,0,9.6, ,4天3晚 ,豪华型酒店,46, ,3898713790
 ,3980,0,0,0,9.6, ,4天3晚 ,豪华型酒店,0, ,3898713790
 ,3980,0,21,0,9.4, ,2天1晚 ,豪华型酒店,21, ,2100828056
 ,3980,0,27,0,9.5, ,2天1晚 ,四星酒店,27, ,3084478120
 ,3980,0,236,0,9.5, ,2天1晚 ,四星酒店,232, ,3084478120
 ,4744,0,0,0,10, ,8天7晚 ,高档型酒店,0,丽江、大理、迪庆、昆明,222214490
 ,4744,0,5,0,10, ,6天5晚 ,高档型酒店,5,云南、昆明、西双版纳,2951749356
 ,3980,0,52,0,9.5, ,3天2晚 ,二星及其他酒店,52, ,2182569401
 ,4744,0,81,0,9.8, ,2天1晚 ,舒适型酒店,81,成都、四川,1819285263
 ,4744,0,10,0,10, ,6天5晚 ,豪华型酒店,10,昆明、西双版纳,3952531354
 ,4744,0,10,0,10, ,4天3晚 ,五星酒店,10, ,4277302007
 ,4744,0,0,0,10, ,4天3晚 ,五星酒店,0, ,4277302007
 ,4744,0,0,0,10, ,4天3晚 ,五星酒店,0, ,4277302007
 ,4744,0,0,0,10, ,3天2晚 ,舒适型酒店,0, ,3495566959
 ,4744,0,11,0,8.9,自理去自理回,6天5晚 ,舒适型酒店,11,云南、昆明、大理、丽江,747018034
 ,4744,0,26,0,9.7, ,4天3晚 ,高档型酒店,26,成都、四川,3839860437
